ticker,CSIIGL Index,GSUSCAI Index,GSCNCAI Index,WRAIRISK Index,VIX Index,FEDL01 Index,USGG10YR Index,XAU BGN Curncy,GSUSFCI Index,GSCNFCI Index,GSGLCAI Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1984-02-23,,,,,,9.72,11.993,398.25,,,
1984-02-24,,,,,,9.63,11.96,395.75,,,
1984-02-27,,,,,,9.72,12.033,393.5,,,
1984-02-28,,,,,,9.53,12.066,399.25,,,
1984-02-29,,,,,,9.45,12.055,394.25,,,
1984-03-01,,4.85,,,,9.73,11.988,392.75,,,
1984-03-02,,6.48,,,,9.75,11.943999999999999,399.0,,,
1984-03-05,,,,,,9.81,12.056,405.85,,,
1984-03-06,,,,,,9.72,12.078,402.5,,,
1984-03-07,,,,,,9.66,12.208,398.5,,,
1984-03-08,,,,,,9.74,12.254,397.25,,,
1984-03-09,,,,,,9.73,12.237,399.9,,,
1984-03-12,,,,,,9.84,12.215,395.75,,,
1984-03-13,,,,,,9.79,12.283,397.25,,,
1984-03-14,,,,,,9.96,12.289,399.75,,,
1984-03-15,,,,,,10.09,12.158,394.5,,,
1984-03-16,,,,,,9.84,12.312,392.75,,,
1984-03-19,,,,,,10.07,12.422,393.6,,,
1984-03-20,,,,,,10.25,12.434,393.85,,,
1984-03-21,,,,,,10.36,12.498,392.35,,,
1984-03-22,,,,,,10.45,12.429,389.35,,,
1984-03-23,,,,,,10.28,12.446,387.9,,,
1984-03-26,,,,,,10.06,12.395,387.4,,,
1984-03-27,,,,,,9.62,12.435,388.85,,,
1984-03-28,,,,,,8.81,12.366,385.75,,,
1984-03-29,,,,,,10.07,12.471,390.25,,,
1984-03-30,,,,,,10.24,12.471,388.5,,,
1984-04-02,,5.35,,,,10.42,12.536,387.2,,,
1984-04-03,,,,,,10.75,12.636,,,,
1984-04-04,,,,,,10.9,12.624,,,,
1984-04-05,,,,,,10.74,12.583,381.2,,,
1984-04-06,,,,,,10.37,12.507,380.25,,,
1984-04-09,,,,,,10.32,12.444,382.4,,,
1984-04-10,,,,,,9.49,12.485,381.35,,,
1984-04-11,,,,,,9.25,12.45,384.5,,,
1984-04-12,,,,,,10.34,12.334,381.9,,,
1984-04-13,,,,,,10.24,12.556000000000001,379.25,,,
1984-04-16,,,,,,10.5,12.568999999999999,380.1,,,
1984-04-17,,,,,,10.45,12.528,380.2,,,
1984-04-18,,,,,,10.61,12.675,380.25,,,
1984-04-19,,,,,,10.73,12.711,384.9,,,
1984-04-20,,,,,,9.77,,,,,
1984-04-23,,,,,,9.63,12.784,,,,
1984-04-24,,,,,,9.55,12.725,383.25,,,
1984-04-25,,,,,,10.67,12.648,382.3,,,
1984-04-26,,,,,,10.63,12.69,379.9,,,
1984-04-27,,,,,,10.49,12.75,379.25,,,
1984-04-30,,,,,,10.9,12.798,375.8,,,
1984-05-01,,5.41,,,,11.04,12.823,376.5,,,
1984-05-02,,6.23,,,,10.88,12.835,377.35,,,
1984-05-03,,,,,,10.45,12.86,378.5,,,
1984-05-04,,,,,,10.04,13.024,376.7,,,
1984-05-07,,,,,,10.48,13.13,,,,
1984-05-08,,,,,,11.06,13.05,371.5,,,
1984-05-09,,,,,,11.12,13.127,372.6,,,
1984-05-10,,,,,,11.0,13.369,371.75,,,
1984-05-11,,,,,,10.58,13.392,372.5,,,
1984-05-14,,,,,,10.33,13.58,372.55,,,
1984-05-15,,,,,,10.55,13.427,373.25,,,
1984-05-16,,,,,,9.99,13.392,375.25,,,
1984-05-17,,,,,,9.92,13.591,376.5,,,
1984-05-18,,,,,,9.01,13.426,375.6,,,
1984-05-21,,,,,,9.71,13.432,380.75,,,
1984-05-22,,,,,,10.73,13.449,379.5,,,
1984-05-23,,,,,,10.84,13.567,378.55,,,
1984-05-24,,,,,,10.72,13.709,375.65,,,
1984-05-25,,,,,,10.04,13.697,384.2,,,
1984-05-28,,,,,,10.04,,,,,
1984-05-29,,,,,,10.51,13.865,385.6,,,
1984-05-30,,,,,,10.71,13.95,386.4,,,
1984-05-31,,,,,,10.81,13.804,384.25,,,
1984-06-01,,4.87,,,,10.53,13.613,393.75,,,
1984-06-04,,6.27,,,,10.99,13.331,391.0,,,
1984-06-05,,,,,,10.65,13.354,393.75,,,
1984-06-06,,,,,,11.03,13.506,391.65,,,
1984-06-07,,,,,,11.01,13.47,392.2,,,
1984-06-08,,,,,,10.76,13.4,386.0,,,
1984-06-11,,,,,,11.16,13.535,382.5,,,
1984-06-12,,,,,,10.83,13.505,375.0,,,
1984-06-13,,,,,,10.66,13.411,374.0,,,
1984-06-14,,,,,,11.04,13.271,375.6,,,
1984-06-15,,,,,,11.33,13.185,368.0,,,
1984-06-18,,,,,,11.56,13.213,367.9,,,
1984-06-19,,,,,,11.55,13.375,370.6,,,
1984-06-20,,,,,,12.31,13.599,370.0,,,
1984-06-21,,,,,,11.9,13.695,370.75,,,
1984-06-22,,,,,,11.51,13.623,374.25,,,
1984-06-25,,,,,,11.08,13.742,369.25,,,
1984-06-26,,,,,,10.84,13.718,369.5,,,
1984-06-27,,,,,,10.51,13.73,369.35,,,
1984-06-28,,,,,,10.64,13.778,372.9,,,
1984-06-29,,,,,,10.85,13.839,373.05,,,
1984-07-02,,3.51,,,,11.43,13.815,370.0,,,
1984-07-03,,,,,,10.88,13.706,368.25,,,
1984-07-04,,,,,,10.88,,369.0,,,
1984-07-05,,,,,,11.25,13.742,364.8,,,
1984-07-06,,,,,,11.13,13.658,353.25,,,
1984-07-09,,,,,,11.52,13.386,338.5,,,
1984-07-10,,,,,,11.37,13.515,344.25,,,
1984-07-11,,,,,,11.22,13.486,339.25,,,
1984-07-12,,,,,,11.03,13.374,341.15,,,
1984-07-13,,,,,,11.0,13.205,345.0,,,
1984-07-16,,,,,,11.45,13.339,350.1,,,
1984-07-17,,,,,,11.4,13.309,347.15,,,
1984-07-18,,,,,,11.6,13.234,345.75,,,
1984-07-19,,,,,,11.36,13.245,350.2,,,
1984-07-20,,,,,,11.09,13.327,342.0,,,
1984-07-23,,,,,,11.49,13.303,335.0,,,
1984-07-24,,,,,,11.21,13.28,338.5,,,
1984-07-25,,,,,,11.02,13.061,341.75,,,
1984-07-26,,,,,,11.29,12.822,344.2,,,
1984-07-27,,,,,,11.33,12.912,335.25,,,
1984-07-30,,,,,,11.53,13.02,338.5,,,
1984-07-31,,,,,,11.83,12.867,342.35,,,
1984-08-01,,2.61,,,,12.04,12.856,339.0,,,
1984-08-02,,4.0,,,,11.65,12.632,344.0,,,
1984-08-03,,,,,,11.5,12.555,349.25,,,
1984-08-06,,,,,,11.76,12.71,349.25,,,
